litigante,processos
CEF,250
EST DO AMAPÁ,233
"CAIXA DE PECÚLIOS, PENSÕES E MONTEPIOS BENEFICENTE",117
UNIÃO,115
ASSEMBLÉIA LEGISLATIVA DO EST DO AMAPÁ,46
MIN PUB FED,45
JOÃO ALBERTO RODRIGUES CAPIBERIBE,41
SINTRACEL,35
GOVERNADOR DO EST DO AMAPÁ,29
MIN PUB DO EST DO AMAPÁ,24
