litigante,processos
EST DE MT,1586
CEF,602
UNIÃO,573
BANCO DO BRASIL SA,284
MIN PUB DO EST DE MT,251
INSS,249
BANCO BRADESCO SA,223
MIN PUB FED,192
JOSÉ GERALDO DA ROCHA BARROS PALMEIRA,187
FUNDAÇÃO UNIV FED DE MT,159
