litigante,processos
ESTADO DO RIO GRANDE DO NORTE,6943
CAIXA ECONÔMICA FEDERAL - CEF,6537
UNIÃO,2154
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,1125
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE - UFRN,561
OS MESMOS,292
MUNICÍPIO DE NATAL,195
UNIÃO FEDERAL,186
MINISTÉRIO PÚBLICO DO ESTADO DO RIO GRANDE DO NORTE,174
MINISTÉRIO PÚBLICO FEDERAL,123
