litigante,processos
ESTADO DO AMAZONAS,3244
UNIÃO,1812
FUNDAÇÃO NACIONAL DO ÍNDIO - FUNAI,466
MANAUS ENERGIA SA,306
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,291
FUNDO PREVIDENCIÁRIO DO ESTADO DO AMAZONAS - AMAZONPREV,261
CAIXA ECONÔMICA FEDERAL - CEF,245
TRIBUNAL SUPERIOR DO TRABALHO,214
MUNICÍPIO DE MANAUS,188
"ESTADO DO AMAZONAS - SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E DESPORTOS - SEDUC",153
