litigante,processos
ESTADO DE MATO GROSSO,1586
CAIXA ECONÔMICA FEDERAL - CEF,602
UNIÃO,573
BANCO DO BRASIL SA,284
MINISTÉRIO PÚBLICO DO ESTADO DE MATO GROSSO,251
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,249
BANCO BRADESCO SA,223
MINISTÉRIO PÚBLICO FEDERAL,192
JOSÉ GERALDO DA ROCHA BARROS PALMEIRA,187
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,159
