litigante,processos
CAIXA ECONÔMICA FEDERAL - CEF,250
ESTADO DO AMAPÁ,233
"CAPEMI - CAIXA DE PECÚLIOS, PENSÕES E MONTEPIOS BENEFICENTE",117
UNIÃO,115
ASSEMBLÉIA LEGISLATIVA DO ESTADO DO AMAPÁ,46
MINISTÉRIO PÚBLICO FEDERAL,45
JOÃO ALBERTO RODRIGUES CAPIBERIBE,41
SINDICATO DOS TRABALHADORES NA INDÚSTRIA DE PAPEL E CELULOSE DO PARÁ E AMAPÁ - SINTRACEL,35
GOVERNADOR DO ESTADO DO AMAPÁ,29
MINISTÉRIO PÚBLICO DO ESTADO DO AMAPÁ,24
